TimeEnd,CPCconc,DMAnm,CPCcounts,CPCflow_ccPerSec,CPCdetectorflow_ccPerSec,DMAsheath,DMAvoltage,CPCvoltageAO,CPCbufferSecs,CPCstatusBitwise,T_condenser_C,T_saturator_C,T_optics_C,status_butanol_1OK,CPC_ready_1OK,CPCflow_ccPerSec_2nd,CPCtype,DMAtype,SettingVoltage,
19.08.19 12:40:34,309.60,20.000,5160,16.667,16.667,3.0000,24.082,24.082,1,210,NaN,0.0000,0.0000,2147483647,2147483647,16.667,3010,TSI long,OK,
19.08.19 12:40:35,314.64,20.000,5244,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:36,307.80,20.000,5130,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:37,301.62,20.000,5027,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:38,303.24,20.000,5054,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.100,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:39,309.00,20.000,5150,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:40,304.26,20.000,5071,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.100,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:41,311.04,20.000,5184,16.667,16.667,3.0000,24.082,24.082,1,192,13.000,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:42,311.52,20.000,5192,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,29.900,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:43,300.96,20.000,5016,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:44,310.74,20.000,5179,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:45,305.04,20.000,5084,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:46,317.10,20.000,5285,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.100,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:47,315.54,20.000,5259,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:48,311.94,20.000,5199,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,29.900,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:49,313.44,20.000,5224,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:50,303.72,20.000,5062,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:51,303.72,20.000,5062,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
19.08.19 12:40:52,298.98,20.000,4983,16.667,16.667,3.0000,24.082,24.082,1,192,13.100,30.000,0.0000,0,0,16.667,3010,TSI long,OK,
