Zeile;Time;Concentration;Mean 10s;TimeMean
1;19.08.2019 12:29;1500;1492.75;19.08.2019 12:29:28
2;19.08.2019 12:29;1500;1411.769;19.08.2019 12:29:38
3;19.08.2019 12:29;1468.9;99.7807;19.08.2019 12:29:48
4;19.08.2019 12:29;1512.5;10.58566;19.08.2019 12:29:58
5;19.08.2019 12:29;1515.6;10.89974;19.08.2019 12:30:08
6;19.08.2019 12:29;1488.1;8.20282;19.08.2019 12:30:18
7;19.08.2019 12:29;1471.5;8.82685;19.08.2019 12:30:28
8;19.08.2019 12:29;1496.9;9.13825;19.08.2019 12:30:38
9;19.08.2019 12:29;1459.5;8.72107;19.08.2019 12:30:48
10;19.08.2019 12:29;1514.5;10.05498;19.08.2019 12:30:58
11;19.08.2019 12:29;1494.8;9.0332;19.08.2019 12:31:08
12;19.08.2019 12:29;1459.1;9.23885;19.08.2019 12:31:18
13;19.08.2019 12:29;1497.4;8.29772;19.08.2019 12:31:28
14;19.08.2019 12:29;1492.2;7.46471;19.08.2019 12:31:38
15;19.08.2019 12:29;1494.3;9.13452;19.08.2019 12:31:48
16;19.08.2019 12:29;1531;9.54504;19.08.2019 12:31:58
17;19.08.2019 12:29;1429.7;7.78842;19.08.2019 12:32:08
18;19.08.2019 12:29;1479.8;9.45032;19.08.2019 12:32:18
19;19.08.2019 12:29;1408.3;9.33313;19.08.2019 12:32:28
20;19.08.2019 12:29;831.09;9.34228;19.08.2019 12:32:38
21;19.08.2019 12:29;401.73;10.37196;19.08.2019 12:32:48
22;19.08.2019 12:29;233.56;9.02132;19.08.2019 12:32:58
23;19.08.2019 12:29;137.02;10.16992;19.08.2019 12:33:08
24;19.08.2019 12:29;73.83;10.37478;19.08.2019 12:33:18
25;19.08.2019 12:29;42.561;8.91288;19.08.2019 12:33:28
26;19.08.2019 12:29;36.395;8.71677;19.08.2019 12:33:38
27;19.08.2019 12:29;27.036;9.64619;19.08.2019 12:33:48
28;19.08.2019 12:29;12.457;8.19277;19.08.2019 12:33:58
29;19.08.2019 12:29;18.685;9.85466;19.08.2019 12:34:08
30;19.08.2019 12:29;14.533;9.23195;19.08.2019 12:34:18
31;19.08.2019 12:29;13.495;9.11988;19.08.2019 12:34:28
32;19.08.2019 12:29;12.457;9.43387;19.08.2019 12:34:38
33;19.08.2019 12:30;7.2539;11.51864;19.08.2019 12:34:48
34;19.08.2019 12:30;11.419;8.80837;19.08.2019 12:34:58
35;19.08.2019 12:30;9.3426;7.46833;19.08.2019 12:35:08
36;19.08.2019 12:30;8.2902;9.34013;19.08.2019 12:35:18
37;19.08.2019 12:30;14.533;11.9397;19.08.2019 12:35:28
38;19.08.2019 12:30;13.495;7.68821;19.08.2019 12:35:38
39;19.08.2019 12:30;8.3045;9.24937;19.08.2019 12:35:48
40;19.08.2019 12:30;7.2664;8.71254;19.08.2019 12:35:58
41;19.08.2019 12:30;7.2664;10.58226;19.08.2019 12:36:08
42;19.08.2019 12:30;13.495;8.1979;19.08.2019 12:36:18
43;19.08.2019 12:30;14.533;8.29629;19.08.2019 12:36:28
44;19.08.2019 12:30;9.3426;9.96421;19.08.2019 12:36:38
45;19.08.2019 12:30;12.457;9.24366;19.08.2019 12:36:48
46;19.08.2019 12:30;10.381;10.78405;19.08.2019 12:36:58
47;19.08.2019 12:30;7.2664;8.16691;19.08.2019 12:37:08
48;19.08.2019 12:30;8.3045;1136.72926;19.08.2019 12:37:18
49;19.08.2019 12:30;8.3045;1530.07;19.08.2019 12:37:28
50;19.08.2019 12:30;17.647;1567.07;19.08.2019 12:37:38
51;19.08.2019 12:30;9.3426;1354.447;19.08.2019 12:37:48
52;19.08.2019 12:30;6.2284;68.6592;19.08.2019 12:37:58
53;19.08.2019 12:30;8.3045;16.46352;19.08.2019 12:38:08
54;19.08.2019 12:30;7.2664;15.7513;19.08.2019 12:38:18
55;19.08.2019 12:30;8.3045;15.3471;19.08.2019 12:38:28
56;19.08.2019 12:30;8.3045;15.54339;19.08.2019 12:38:38
57;19.08.2019 12:30;5.1903;13.68673;19.08.2019 12:38:48
58;19.08.2019 12:30;7.2664;64.6608;19.08.2019 12:38:58
59;19.08.2019 12:30;9.3426;83.54066;19.08.2019 12:39:08
60;19.08.2019 12:30;12.478;12.03519;19.08.2019 12:39:18
61;19.08.2019 12:30;9.3588;11.28793;19.08.2019 12:39:28
62;19.08.2019 12:30;10.381;10.25282;19.08.2019 12:39:38
63;19.08.2019 12:30;9.3588;10.87551;19.08.2019 12:39:48
64;19.08.2019 12:30;7.2664;11.71305;19.08.2019 12:39:58
65;19.08.2019 12:30;7.2664;8.39638;19.08.2019 12:40:08
66;19.08.2019 12:30;10.381;12.74196;19.08.2019 12:40:18
67;19.08.2019 12:30;8.3045;10.47469;19.08.2019 12:40:28
68;19.08.2019 12:30;7.2664;12.64521;19.08.2019 12:40:38
69;19.08.2019 12:30;4.1522;11.20265;19.08.2019 12:40:48
70;19.08.2019 12:30;14.533;9.74031;19.08.2019 12:40:58
71;19.08.2019 12:30;7.2664;12.11928;19.08.2019 12:41:08
72;19.08.2019 12:30;8.3045;9.53264;19.08.2019 12:45:27
73;19.08.2019 12:30;5.1903;11.38592;19.08.2019 12:45:37
74;19.08.2019 12:30;11.419;9.22183;19.08.2019 12:45:47
75;19.08.2019 12:30;10.381;10.04445;19.08.2019 12:45:57
76;19.08.2019 12:30;12.457;203.949;19.08.2019 12:46:07
77;19.08.2019 12:30;7.279;231.039;19.08.2019 12:46:17
78;19.08.2019 12:30;12.457;234.207;19.08.2019 12:46:27
79;19.08.2019 12:30;11.438;223.187;19.08.2019 12:46:37
80;19.08.2019 12:30;5.1903;226.997;19.08.2019 12:46:47
81;19.08.2019 12:30;7.279;233.207;19.08.2019 12:46:57
82;19.08.2019 12:30;13.495;239.854;19.08.2019 12:47:07
83;19.08.2019 12:30;9.3426;175.338;19.08.2019 12:47:17
84;19.08.2019 12:30;2.0761;25.9747;19.08.2019 12:47:27
85;19.08.2019 12:30;9.3426;14.80264;19.08.2019 12:47:37
86;19.08.2019 12:30;9.3426;12.42325;19.08.2019 12:47:47
87;19.08.2019 12:30;10.381;12.94237;19.08.2019 12:47:57
88;19.08.2019 12:30;7.2664;12.82295;19.08.2019 12:48:07
