Counts[][0],Counts[][1],Counts[][2],Counts[][3],Counts[][4],Counts[][5],Counts[][6],Counts[][7],Counts[][8],Counts[][9],Counts[][10],Counts[][11],Counts[][12],Counts[][13],Counts[][14],Counts[][15],Counts[][16],Counts[][17],Counts[][18],Counts[][19],Counts[][20],Counts[][21],Counts[][22],Counts[][23],Counts[][24],Counts[][25],Counts[][26],Counts[][27],Counts[][28],Counts[][29],Counts[][30],Counts[][31],Counts[][32],Counts[][33],Counts[][34],Counts[][35],Counts[][36],Counts[][37],Counts[][38],Counts[][39],Counts[][40],Counts[][41],Counts[][42],Counts[][43],Counts[][44],Counts[][45],Counts[][46],Counts[][47],Counts[][48],Counts[][49],Counts[][50],Counts[][51],Counts[][52],Counts[][53],Counts[][54],Counts[][55],Counts[][56],Counts[][57],Counts[][58],Counts[][59],Counts[][60],Counts[][61],Counts[][62],Counts[][63],Counts[][64],Counts[][65],Counts[][66],Counts[][67],Counts[][68],Counts[][69],Counts[][70],Counts[][71],Counts[][72],Counts[][73],Counts[][74],Counts[][75],Counts[][76],Counts[][77],Counts[][78],Counts[][79],Counts[][80],Counts[][81],Counts[][82],Counts[][83],Counts[][84],Counts[][85],Counts[][86],Counts[][87],Counts[][88],Counts[][89],Counts[][90],Counts[][91],Counts[][92],Counts[][93],Counts[][94],Counts[][95],Counts[][96],Counts[][97],Counts[][98],Counts[][99],Counts[][100],Counts[][101],Counts[][102],Counts[][103],Counts[][104],Counts[][105],Counts[][106],Counts[][107],Counts[][108]
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
272.542,466.321,111.901,0,97.9343,369.216,543.619,230.263,158.829,424.735,303.023,573.704,534.479,361.107,669.452,340.886,458.448,336.488,270.558,368.766,334.841,410.584,359.769,299.356,242.356,241.728,495.741,225.572,254.341,182.05,225.38,218.38,326.464,368.047,315.892,165.068,186.19,221.234,200.002,120.735,217.372,150.954,299.513,94.7706,137.481,110.998,222.409,268.05,73.1441,13.5323,194.978,27.8772,114.166,80.4856,19.7534,142.559,80.0822,31.2945,170.556,196.911,206.22,10.1197,196.341,142.364,104.963,132.851,108.259,-6.66342,75.163,67.5017,88.3873,80.6594,42.5811,41.8564,10.6346,50.0785,24.5768,8.33529,2.24622,1.439,0,32.1859,0,-7.6971,-5.56544,34.1885,34.5898,35.179,35.7823,0,0,-7.97281,-18.0342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.8685,0
1679.13,2294.26,2096.14,937.401,1202.37,2066.09,1335.68,2191.91,2048.06,1787.01,1891.95,1647.22,1715.08,2236.36,1941.08,1433.71,2098.22,1921.28,2525.49,2508.15,1880.7,1808.93,1644.33,1755.53,1843.87,1474.38,1814.33,1582.51,1691.55,1832.76,1188.58,1444.17,1262.03,1353.39,930.558,963.644,1035.24,1435.41,1016.91,1022.39,1040.24,760.028,894.921,1046.54,528.073,602.806,717.137,747.072,472.98,348.621,563.03,600.307,283.246,478.022,456.605,386.765,606.031,495.127,503.254,725.756,549.329,777.924,298.507,264.573,654.36,548.219,364.196,294.758,275.442,546.181,231.488,83.5862,330.633,243.161,430.077,336.479,221.961,252.561,173.168,182.494,91.122,193.115,221.731,136.16,173.605,-19.9733,69.4587,59.7571,71.5646,72.4228,0,37.542,76.5373,77.5101,39.5071,0,0,9.06513,75.8262,86.2924,0,89.462,0,0,0,0,0,0,0
1439.25,1328.74,1103.48,1730,641.93,1199.95,1543.62,1106.61,1191.22,652.45,29.4272,30.4907,215.793,2175.29,4786.03,4156.85,4181.35,4556.25,4817.05,4341.34,5067.82,4374.09,4391.1,3664.18,3404.63,3212.07,3453.68,4093.25,5558.61,2825.94,1204.3,301.895,306.421,2965.71,7031.67,8775.96,6429.67,4826.08,3914.24,3727.48,2927.18,2709.6,2211.75,2061.82,1702.3,1207.41,771.842,701.034,591.909,646.355,589.375,442.014,7.53262,-43.0221,-256.504,113.168,366.575,737.372,682.683,1000.7,975.66,695.852,550.284,908.936,565.078,876.851,493.06,854.249,659.609,574.241,635.821,444.165,446.091,670.151,858.559,873.156,1209.7,626.21,381.918,410.982,289.72,412.237,592.131,181.051,207.166,480.682,345.943,338.999,127.416,222.291,83.1642,92.3646,299.621,232.082,240.866,376.805,122.527,83.3313,158.194,271.017,0,89.462,5.47045,180.183,188.658,47.905,49.0635,0,54.3611
752.293,345.632,768.858,639.742,391.737,369.216,523.448,665.311,317.658,379.523,509.427,278.951,389.352,555.809,391.74,413.838,687.94,258.036,671.82,584.89,171.779,1086.85,456.188,330.89,610.263,718.62,766.686,530.169,523.402,538.755,618.029,411.34,370.192,765.807,397.487,646.5,475.97,560.237,628.586,317.467,373.736,424.576,462.691,187.826,516.204,228.867,126.515,90.9059,151.843,161.167,238.131,152.405,198.992,35.1725,59.0055,86.8602,81.5691,122.05,145.793,108.098,144.188,-0.381972,62.7931,121.478,108.958,-11.8194,112.75,148.211,16.2897,89.5216,49.0283,-12.0815,74.5196,61.7354,18.4168,78.7143,-7.99769,30.7225,-6.03645,58.8476,-0.213729,92.884,-16.1393,24.2669,21.4489,34.1885,-14.6375,-7.47887,35.371,0,0,0,0,0,0,0,40.8422,0,42.5409,0,0,38.166,6.65941,0,0,0,0,0,0
784.959,811.953,223.801,208.756,587.606,184.608,456.378,562.919,476.486,759.047,391.512,458.256,658.118,457.276,199.865,455.769,884.803,418.899,432.069,566.779,701.444,622.166,621.744,404.545,658.208,760.195,826.355,587.165,557.686,651.546,630.961,789.342,804.73,639.941,366.648,741.524,593.648,567.47,585.724,677.268,736.983,464.275,439.698,446.157,373.595,345.825,278.138,199.631,188.005,236.274,223.227,139.502,163.458,33.1153,132.896,19.7,123.61,173.098,126.086,-28.8616,113.989,24.8186,162.76,9.36321,52.6223,130.113,128.917,117.104,50.8195,-11.4901,72.2278,71.7654,66.7221,-10.6753,29.215,108.266,21.8014,1.26029,58.8039,31.9572,32.6991,1.64089,31.038,0,-22.2851,-21.5473,26.9001,0,0,36.2114,0,75.084,-23.3172,-33.5169,0,0,0,0,0,0,44.0845,0,0,0,0,0,0,0,108.722
959.501,362.068,1007.1,939.4,685.54,553.824,436.206,665.311,540.544,621.916,654.978,274.637,390.434,626.698,852.823,692.573,359.052,571.131,383.239,348.421,425.67,623.872,449.166,490.556,571.528,1100.97,582.325,812.647,740.069,935.803,1142.82,935.316,552.865,362.479,767.232,688.003,663.165,737.312,616.739,892.278,615.852,464.762,614.35,307.716,404.141,432.163,534.605,313.324,298.312,387.92,332.438,301.247,421.215,518.503,178.414,148.863,104.965,173.868,151.1,234.733,323.827,34.5332,137.566,31.1521,190.669,171.193,293.862,77.0659,153.311,10.7554,79.5064,146.441,10.5381,140.254,30.5852,18.7549,-7.99769,-12.2486,57.0014,-17.3695,5.07338,58.3191,32.7054,-8.7625,-12.1747,34.1885,0,70.3581,35.7823,0,0,37.542,0,38.755,0,0,0,0,42.5409,0,0,0,0,0,0,0,0,0,0
479.751,362.068,223.801,626.267,391.737,369.216,174.483,665.311,397.072,151.809,946.079,1342.72,1319.76,505.808,939.865,1062.9,1188.47,1447.04,847.349,851.931,1076.25,622.14,976.166,1080.61,1517.3,880.937,930.333,700.68,790.986,1377.4,1112.5,961.733,1302.54,660.881,932.132,1010.87,1147.87,979.028,1028.2,863.363,791.608,835.59,1078.86,937.684,1171.99,820.2,1191.75,790.658,1156.84,953.433,1315.42,1495.81,902.714,835.256,1115.43,1027.31,920.88,553.256,507.389,734.057,473.055,589.885,478.295,427.083,242.459,630.081,185.118,266.636,65.1126,127.122,149.835,110.843,116.796,80.0831,61.6351,30.1674,91.259,56.4799,25.9716,14.1665,93.4503,14.1648,0,66.0588,0,54.0371,-7.68975,70.3581,0,0,0,0,0,38.755,0,40.3074,0,0,0,0,44.0845,0,0,0,0,0,0,0,0
719.626,1327.58,335.702,835.023,1328.42,664.829,892.741,831.639,1572.93,1380.96,973.714,1991.35,1834.37,1316.61,1805.16,1545.1,1496.09,1769.21,2199.68,1900.84,2398.05,2496.22,3005.61,3476,2985.49,3818.24,3759.58,4198.98,4284.42,4658.87,4724.42,4311.41,3885.65,4609.67,3529.29,3230.11,2154.94,2739.97,2146.84,1542.97,2124.68,2115.34,2264.45,1246.78,1318.8,1310.5,1311.11,1191.59,1123.52,1336.57,961.318,817.287,1280.66,921.776,1000.43,885.006,1088.44,910.431,704.275,519.806,810.216,515.031,426.559,686.483,478.711,415.95,199.069,289.373,153.946,286.355,181.188,145.297,35.888,36.1133,52.781,56.3828,49.5542,10.9063,88.0113,53.6916,56.6363,28.5122,49.2715,66.0588,-11.4659,24.2018,0,50.2151,140.327,36.2114,36.859,37.542,0,0,79.0141,0,40.8422,0,0,43.1462,0,0,45.3741,0,0,0,0,0,0
719.626,1208.06,558.424,777.124,850.412,634.241,805.343,646.083,1001.67,864.308,564.697,1338.65,858.152,1519.7,757.873,821.789,798.966,906.794,1273.39,1127.18,1032.35,1054.76,1510.92,1194.99,1244.33,1442.31,1211.94,1184.86,1551.15,1635.79,1231.2,2053.9,1608.56,1351.83,1340.7,1233.34,716.036,1510.4,1076.88,989.731,739.207,553.868,906.47,885.492,481.114,713.535,279.678,481.5,465.256,317.997,266.012,106.307,280.842,110.451,306.128,323.681,169.108,294.722,137.218,46.5759,100.414,115.321,132.139,131.567,87.5684,131.341,-42.5803,35.4781,116.398,133.103,62.7207,142.859,29.3939,61.2554,11.9301,74.2174,43.6027,0,155.049,31.536,69.7671,18.4677,0.784855,66.0588,0,0,0,0,0,72.4228,0,0,0,0,0,0.894142,80.7785,0,0,0,0,0,0,0,0,0,0,0,0
1951.67,1675.54,2542.66,1563.67,1845.25,2440.11,1261.72,2127.98,2570.62,1880.27,1787.96,2143.59,2158.66,1582.47,1037.24,1126.11,1029.5,995.277,575.081,1388.15,1300.41,1037.91,1345.47,610.651,1152.98,1419.74,1324.51,1388.94,1491.99,1193.64,1079.98,1464.13,1362.88,1099.12,750.507,1217.07,750.215,580.9,355.67,950.033,469.351,596.05,619.851,526.835,323.603,468.976,224.739,205.809,280.046,174.299,98.8788,268.125,299.322,226.193,57.2741,185.995,41.6706,26.8791,185.121,125.216,72.8912,134.281,170.945,68.6164,122.144,98.4212,38.9651,88.0131,305.458,64.0102,145.326,49.0576,-17.6059,158.827,28.5112,27.3645,54.5817,0,62.0198,0,88.6793,-12.1487,31.3602,105.973,6.96967,34.1885,34.5898,0,0,0,0,0,0,0,12.8737,27.1729,0,9.06513,33.2853,0,0,0,0,0,0,0,0,0,0
239.875,241.378,111.901,104.378,0,35.3983,73.9558,230.263,79.4144,121.117,102.203,68.8631,132.551,129.892,120.754,118.599,229.805,112.203,328.452,211.82,13.2352,133.439,186.906,-5.54081,346.024,291.286,117.856,77.8419,157.356,60.8448,44.2265,106.344,254.931,136.28,71.513,70.4568,277.441,149.064,164.624,193.693,54.2118,151.175,134.091,212.178,12.2445,34.1121,-15.909,163.545,123.054,102.806,12.3578,105.895,93.6565,75.2431,167.037,85.3248,163.808,42.5943,59.7354,146.315,23.8181,61.4282,154.515,71.9315,90.8637,178.752,32.2382,22.3986,-5.42131,96.1939,39.2175,66.7325,242.308,123.606,29.8339,30.1674,-29.6899,-30.3766,-21.7957,-3.68562,31.8989,0,0,33.0294,0,0,0,0,0,0,110.577,29.7712,46.1899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
719.626,0,0,104.378,97.9343,92.3041,348.965,83.1639,381.715,90.5832,291.101,138.83,122.265,262.515,304.845,237.301,288.266,245.262,137.386,241.932,426.561,144.873,404.616,396.656,593.32,222.79,302.533,163.996,340.752,267.049,234.931,182.715,254.9,332.518,257.066,97.6917,97.1032,157.787,160.008,83.89,147.045,138.739,10.0951,175.712,109.832,99.5551,288.457,205,38.2072,157.349,97.0478,168.398,153.797,133.902,58.4138,97.3549,135.53,36.6934,15.0739,168.372,86.4589,140.813,140.879,27.978,167.949,54.4042,17.2918,62.7739,20.2749,61.9918,120.91,-16.0275,55.2118,-6.25,137.561,-22.5171,50.9999,85.2796,31.0099,157.68,51.145,46.3507,79.5682,23.5327,33.6236,0,69.1796,35.179,-23.414,-0.240245,36.859,0,0,0,0,40.3074,0,124.997,0,0,0,0,0,46.4455,0,0,0,0,0
479.751,604.61,1200.94,653.216,936.683,955.632,1597.71,1311.39,1747.12,2504.85,2793.1,1776,2301.95,2733.79,3715.9,3947.6,4205.88,3011.82,3279.04,3628.02,3718.25,3064.06,2529.52,2103.26,2534.89,2903.68,2214.92,2222.83,1820.69,2499.55,1808.92,1543.94,2299.96,1263.14,1652.51,894.614,1507.85,1209.63,874.482,1421.72,850.744,969.12,1202.77,900.037,679.192,655.446,1000.92,1073.32,864.894,928.307,1054.48,675.492,622.871,915.894,586.008,494.126,342.243,320.23,218.715,246.87,397.239,270.818,362.142,451.714,179.298,236.581,187.682,161.046,-30.3502,13.5996,177.073,132.449,84.6056,-29.781,128.062,13.94,3.2864,-6.8878,0,0,0,64.3717,-6.18265,-14.1754,33.6236,0,69.1796,35.179,71.5646,72.4228,36.859,0,0,0,0,0,0,41.6657,0,0,0,0,0,0,0,0,0,0,0
