TimeStart1,CurrentSS1,CCNNumberConc1
18.09.2019 10:39:00,0.15,0.0794668
18.09.2019 10:43:00,0.15,0.0600021
18.09.2019 10:44:00,0.15,0
18.09.2019 10:45:00,0.15,0.0397392
18.09.2019 10:46:00,0.15,0.0795664
18.09.2019 10:47:00,0.15,0.0594104
18.09.2019 10:48:00,0.15,0.0981599
18.09.2019 10:49:00,0.15,0.0200471
18.09.2019 10:50:00,0.15,0.137915
18.09.2019 10:51:00,0.15,0.0942924
18.09.2019 10:52:00,0.15,0.0233614
18.09.2019 10:53:00,0.15,0.0789267
18.09.2019 10:54:00,0.15,0.137057
18.09.2019 10:55:00,0.15,0.0782585
18.09.2019 10:56:00,0.15,0.0782647
18.09.2019 10:57:00,0.15,0.137353
18.09.2019 10:58:00,0.15,0.0944242
18.09.2019 10:59:00,0.2,0.117286
18.09.2019 11:03:00,0.2,0.215189
18.09.2019 11:04:00,0.2,0.313243
18.09.2019 11:05:00,0.2,0.215261
18.09.2019 11:06:00,0.2,0.253818
18.09.2019 11:07:00,0.2,0.410083
18.09.2019 11:08:00,0.2,0.331759
18.09.2019 11:09:00,0.3,3.30098
18.09.2019 11:13:00,0.3,5.40843
18.09.2019 11:14:00,0.3,7.31804
18.09.2019 11:15:00,0.3,9.69102
18.09.2019 11:16:00,0.3,10.275
18.09.2019 11:17:00,0.3,11.2394
18.09.2019 11:18:00,0.3,10.3851
18.09.2019 11:19:00,0.5,38.0821
18.09.2019 11:23:00,0.5,37.9076
18.09.2019 11:24:00,0.5,34.0144
18.09.2019 11:25:00,0.5,49.6689
18.09.2019 11:26:00,0.5,62.8742
18.09.2019 11:27:00,0.5,40.3516
18.09.2019 11:28:00,0.5,61.8896
18.09.2019 11:29:00,1,238.344
18.09.2019 11:33:00,1,379.576
18.09.2019 11:34:00,1,179.991
18.09.2019 11:35:00,1,52.8527
18.09.2019 11:36:00,1,60.3206
18.09.2019 11:37:00,1,69.6802
18.09.2019 11:38:00,1,226.723
18.09.2019 11:39:00,0.15,15.9193
18.09.2019 11:43:00,0.15,15.7695
18.09.2019 11:44:00,0.15,16.1291
18.09.2019 11:45:00,0.15,17.9341
18.09.2019 11:46:00,0.15,17.557
18.09.2019 11:47:00,0.15,17.9739
18.09.2019 11:48:00,0.15,18.4204
18.09.2019 11:49:00,0.15,19.8357
18.09.2019 11:50:00,0.15,19.8005
18.09.2019 11:51:00,0.15,18.3414
18.09.2019 11:52:00,0.15,19.19
18.09.2019 11:53:00,0.15,21.3851
18.09.2019 11:54:00,0.15,19.3747
18.09.2019 11:55:00,0.15,20.3698
18.09.2019 11:56:00,0.15,22.0201
18.09.2019 11:57:00,0.15,23.5308
18.09.2019 11:58:00,0.15,20.9432
18.09.2019 11:59:00,0.2,28.4437
