DistrTotCts,timestart
255.735,18.09.2019 13:20:19
1352.73,18.09.2019 13:23:18
2479.12,18.09.2019 13:26:17
403.632,18.09.2019 13:29:16
447.216,18.09.2019 13:32:15
541.855,18.09.2019 13:35:14
902.769,18.09.2019 13:38:13
1944.46,18.09.2019 13:41:12
837.129,18.09.2019 13:44:11
969.258,18.09.2019 13:47:10
138.573,18.09.2019 13:50:09
208.173,18.09.2019 13:53:08
1577.69,18.09.2019 13:56:07
215.257,18.09.2019 13:59:06
378.89,18.09.2019 14:02:05
185.063,18.09.2019 14:05:04
270.999,18.09.2019 14:08:03
798.179,18.09.2019 14:11:02
144.489,18.09.2019 14:14:01
237.09,18.09.2019 14:17:00
176.683,18.09.2019 14:19:59
186.118,18.09.2019 14:22:58
365.532,18.09.2019 14:25:57
192.77,18.09.2019 14:28:56
118.579,18.09.2019 14:31:55
284.644,18.09.2019 14:34:54
222.132,18.09.2019 14:37:53
130.366,18.09.2019 14:40:52
620.317,18.09.2019 14:43:51
284.838,18.09.2019 14:46:50
146.373,18.09.2019 14:49:49
195.028,18.09.2019 14:52:48
247.458,18.09.2019 14:55:47
112.323,18.09.2019 14:58:46
164.852,18.09.2019 15:01:45
195.404,18.09.2019 15:04:44
144.467,18.09.2019 15:07:43
344.498,18.09.2019 15:10:42
600.709,18.09.2019 15:13:41
251.282,18.09.2019 15:16:40
456.961,18.09.2019 15:19:39
1011.16,18.09.2019 15:22:38
357.026,18.09.2019 15:25:37
221.405,18.09.2019 15:28:36
1009.01,18.09.2019 15:31:35
3666.52,18.09.2019 15:34:34
869.009,18.09.2019 15:37:33
179.257,18.09.2019 15:40:32
137.308,18.09.2019 15:43:31
138.541,18.09.2019 15:46:30
2.47518,18.09.2019 15:49:29
0.673795,18.09.2019 15:52:28
0,18.09.2019 15:55:27
0,18.09.2019 15:58:26
0,18.09.2019 16:01:25
0,18.09.2019 16:04:24
0,18.09.2019 16:07:23
0,18.09.2019 16:10:22
0,18.09.2019 16:13:21
0,18.09.2019 16:16:20
205.919,18.09.2019 16:19:19
359.663,18.09.2019 16:22:18
154.547,18.09.2019 16:25:17
222.447,18.09.2019 16:28:16
202.092,18.09.2019 16:31:15
173.413,18.09.2019 16:34:14
338.881,18.09.2019 16:37:13
520.191,18.09.2019 16:40:12
694.133,18.09.2019 16:43:11
1032.82,18.09.2019 16:46:10
1128.34,18.09.2019 16:49:09
1287.46,18.09.2019 16:52:08
1150.94,18.09.2019 16:55:07
1508.01,18.09.2019 16:58:06
102.526,18.09.2019 17:01:05
57.0351,18.09.2019 17:04:04
58.8569,18.09.2019 17:07:03
130.86,18.09.2019 17:10:02
351.479,18.09.2019 17:13:01
200.288,18.09.2019 17:16:00
214.471,18.09.2019 17:18:59
422.197,18.09.2019 17:21:58
2068.7,18.09.2019 17:24:57
1452.23,18.09.2019 17:27:56
1288.07,18.09.2019 17:30:55
548.22,18.09.2019 17:33:54
605.657,18.09.2019 17:36:53
406.523,18.09.2019 17:39:52
357.251,18.09.2019 17:42:51
432.367,18.09.2019 17:45:50
330.363,18.09.2019 17:48:49
320.402,18.09.2019 17:51:48
280.37,18.09.2019 17:54:47
358.618,18.09.2019 17:57:46
409.172,18.09.2019 18:00:45
433.125,18.09.2019 18:03:44
414.884,18.09.2019 18:06:43
353.218,18.09.2019 18:09:42
389.576,18.09.2019 18:12:41
417.447,18.09.2019 18:15:40
1192.62,18.09.2019 18:18:39
617.932,18.09.2019 18:21:38
1393.31,18.09.2019 18:24:37
939.288,18.09.2019 18:27:36
377.163,18.09.2019 18:30:35
202.76,18.09.2019 18:33:34
